PH510 Assignment 4 - Task 4  (16 MPI ranks)
Two hard-sphere bosons in a 2D harmonic trap  [parallel]

Parameter scan wall time   = 18.421478 s
Final production wall time = 0.656053 s

   alpha      beta     energy / Ha       std err     variance / Ha^2    accept
  1.2000    0.2000      2.22777846    5.6055e-03      1.28545767e+00   57.70%
  1.2000    0.3000      2.17154775    4.9356e-03      1.10919964e+00   56.97%
  1.2000    0.4000      2.12589370    5.7476e-03      1.50197407e+00   56.64%
  1.2000    0.5000      2.11478608    4.7622e-03      1.08605320e+00   56.53%
  1.2000    0.6000      2.09830215    4.9772e-03      1.16608267e+00   55.92%
  1.2000    1.0000      2.06267333    6.1251e-03      1.76852629e+00   55.07%
  1.2000    2.0000      2.04142864    6.3152e-03      1.69781456e+00   54.07%
  1.2000    3.5000      2.04333280    5.5441e-03      1.44205961e+00   53.69%
  1.2000    5.0000      2.03859548    6.0474e-03      1.69010714e+00   53.49%
  1.2000   10.0000      2.04133056    3.2959e-03      4.40309573e-01   52.98%
  1.3000    0.1000      2.29632325    5.6227e-03      1.33075095e+00   58.38%
  1.3000    0.2000      2.20167123    5.3066e-03      1.25085282e+00   57.43%
  1.3000    0.3000      2.16503651    5.1241e-03      1.13146472e+00   57.29%
  1.3000    0.4000      2.13698336    6.3708e-03      2.01818394e+00   56.71%
  1.3000    0.5000      2.12507816    5.1573e-03      1.15173012e+00   56.35%
  1.3000    0.6000      2.11358639    5.0923e-03      1.14401814e+00   56.05%
  1.3000    1.0000      2.08585846    6.1930e-03      1.61066286e+00   55.21%
  1.3000    2.0000      2.08508790    5.5573e-03      1.36992641e+00   54.26%
  1.3000    3.5000      2.07783313    5.8148e-03      1.46307155e+00   53.62%
  1.3000    5.0000      2.06890523    5.9578e-03      1.52802310e+00   53.40%
  1.3000   10.0000      2.07786972    4.1921e-03      6.10744552e-01   53.07%
  1.4000    0.1000      2.27469773    7.2333e-03      2.30452780e+00   58.35%
  1.4000    0.2000      2.21105719    5.2768e-03      1.16517596e+00   57.76%
  1.4000    0.3000      2.16763887    5.8509e-03      1.35730742e+00   57.01%
  1.4000    0.4000      2.14852280    7.1290e-03      2.28096768e+00   56.69%
  1.4000    0.5000      2.13389274    6.7543e-03      1.87667147e+00   56.33%
  1.4000    0.6000      2.14000010    5.9957e-03      1.51833886e+00   56.20%
  1.4000    1.0000      2.12115655    5.7381e-03      1.45038447e+00   55.16%
  1.4000    2.0000      2.11134903    6.4788e-03      1.57075360e+00   54.22%
  1.4000    3.5000      2.11223199    7.2883e-03      2.57314974e+00   53.90%
  1.4000    5.0000      2.11809498    6.1063e-03      1.25836039e+00   53.22%
  1.4000   10.0000      2.12242904    5.3643e-03      9.27416572e-01   53.26%
  1.5000    0.1000      2.27761172    5.7641e-03      1.19164672e+00   58.31%
  1.5000    0.2000      2.21857517    5.8279e-03      1.44442356e+00   57.72%
  1.5000    0.3000      2.19055981    6.2198e-03      1.54871459e+00   57.18%
  1.5000    0.4000      2.18025109    7.1659e-03      1.98075067e+00   56.75%
  1.5000    0.5000      2.17105105    6.0753e-03      1.64800951e+00   56.45%
  1.5000    0.6000      2.17049526    6.4888e-03      1.90760435e+00   55.81%
  1.5000    1.0000      2.16216790    6.8761e-03      1.58040246e+00   55.36%
  1.5000    2.0000      2.16490914    6.2593e-03      1.34181220e+00   54.07%
  1.5000    3.5000      2.16513536    6.8813e-03      1.86958500e+00   53.54%
  1.5000    5.0000      2.15928644    6.8110e-03      1.52345924e+00   53.42%
  1.5000   10.0000      2.16703878    6.3775e-03      1.17535695e+00   53.11%
----------------------------------------------------------------------------
Best energy:  alpha=1.0000  beta=10.0000  E=2.004512 +/- 3.95e-03 Ha
Lowest variance:  alpha=1.2000  beta=10.0000  Var=4.4031e-01 Ha^2

Final high-statistics parallel run:
  alpha            = 1.0000
  beta             = 10.0000
  Energy           = +2.004604 Ha
  Std. error       = 1.83e-03 Ha
  Variance         = 6.7268e-01 Ha^2
  Acceptance rate  = 53.10%
  Samples          = 200,000
  MPI ranks used   = 16
